"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Gender"	"Gender Code"	Births
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"November"	"11"			3359
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"December"	"12"	"Female"	"F"	1557
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"December"	"12"	"Male"	"M"	1639
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"	"December"	"12"			3196
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2007"	"2007"					41660
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"January"	"1"	"Female"	"F"	1635
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"January"	"1"	"Male"	"M"	1741
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"January"	"1"			3376
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"February"	"2"	"Female"	"F"	1558
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"February"	"2"	"Male"	"M"	1644
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"February"	"2"			3202
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"March"	"3"	"Female"	"F"	1692
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"March"	"3"	"Male"	"M"	1716
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"March"	"3"			3408
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"April"	"4"	"Female"	"F"	1632
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"April"	"4"	"Male"	"M"	1721
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"April"	"4"			3353
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"May"	"5"	"Female"	"F"	1659
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"May"	"5"	"Male"	"M"	1798
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"May"	"5"			3457
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"June"	"6"	"Female"	"F"	1601
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"June"	"6"	"Male"	"M"	1839
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"June"	"6"			3440
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"July"	"7"	"Female"	"F"	1813
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"July"	"7"	"Male"	"M"	1798
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"July"	"7"			3611
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"August"	"8"	"Female"	"F"	1715
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"August"	"8"	"Male"	"M"	1829
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"August"	"8"			3544
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"September"	"9"	"Female"	"F"	1652
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"September"	"9"	"Male"	"M"	1767
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"September"	"9"			3419
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"October"	"10"	"Female"	"F"	1649
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"October"	"10"	"Male"	"M"	1757
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"October"	"10"			3406
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"November"	"11"	"Female"	"F"	1478
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"November"	"11"	"Male"	"M"	1534
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"November"	"11"			3012
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"December"	"12"	"Female"	"F"	1535
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"December"	"12"	"Male"	"M"	1636
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"	"December"	"12"			3171
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2008"	"2008"					40399
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"January"	"1"	"Female"	"F"	1538
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"January"	"1"	"Male"	"M"	1562
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"January"	"1"			3100
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"February"	"2"	"Female"	"F"	1448
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"February"	"2"	"Male"	"M"	1536
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"February"	"2"			2984
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"March"	"3"	"Female"	"F"	1683
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"March"	"3"	"Male"	"M"	1753
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"March"	"3"			3436
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"April"	"4"	"Female"	"F"	1596
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"April"	"4"	"Male"	"M"	1662
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"April"	"4"			3258
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"May"	"5"	"Female"	"F"	1689
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"May"	"5"	"Male"	"M"	1720
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"May"	"5"			3409
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"June"	"6"	"Female"	"F"	1604
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"June"	"6"	"Male"	"M"	1734
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"June"	"6"			3338
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"July"	"7"	"Female"	"F"	1769
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"July"	"7"	"Male"	"M"	1824
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"July"	"7"			3593
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"August"	"8"	"Female"	"F"	1604
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"August"	"8"	"Male"	"M"	1716
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"August"	"8"			3320
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"September"	"9"	"Female"	"F"	1608
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"September"	"9"	"Male"	"M"	1654
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"September"	"9"			3262
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"October"	"10"	"Female"	"F"	1496
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"October"	"10"	"Male"	"M"	1636
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"October"	"10"			3132
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"November"	"11"	"Female"	"F"	1524
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"November"	"11"	"Male"	"M"	1471
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"November"	"11"			2995
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"December"	"12"	"Female"	"F"	1502
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"December"	"12"	"Male"	"M"	1567
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"	"December"	"12"			3069
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2009"	"2009"					38896
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"January"	"1"	"Female"	"F"	1479
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"January"	"1"	"Male"	"M"	1499
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"January"	"1"			2978
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"February"	"2"	"Female"	"F"	1398
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"February"	"2"	"Male"	"M"	1385
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"February"	"2"			2783
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"March"	"3"	"Female"	"F"	1559
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"March"	"3"	"Male"	"M"	1664
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"March"	"3"			3223
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"April"	"4"	"Female"	"F"	1544
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"April"	"4"	"Male"	"M"	1625
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"April"	"4"			3169
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"May"	"5"	"Female"	"F"	1484
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"May"	"5"	"Male"	"M"	1600
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"May"	"5"			3084
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"June"	"6"	"Female"	"F"	1539
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"June"	"6"	"Male"	"M"	1696
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"June"	"6"			3235
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"July"	"7"	"Female"	"F"	1632
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"July"	"7"	"Male"	"M"	1692
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"July"	"7"			3324
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"August"	"8"	"Female"	"F"	1526
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"August"	"8"	"Male"	"M"	1661
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"August"	"8"			3187
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"September"	"9"	"Female"	"F"	1609
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"September"	"9"	"Male"	"M"	1668
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"September"	"9"			3277
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"October"	"10"	"Female"	"F"	1565
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"October"	"10"	"Male"	"M"	1570
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"October"	"10"			3135
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"November"	"11"	"Female"	"F"	1594
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"November"	"11"	"Male"	"M"	1509
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"November"	"11"			3103
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"December"	"12"	"Female"	"F"	1556
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"December"	"12"	"Male"	"M"	1654
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"	"December"	"12"			3210
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2010"	"2010"					37708
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"January"	"1"	"Female"	"F"	1465
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"January"	"1"	"Male"	"M"	1614
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"January"	"1"			3079
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"February"	"2"	"Female"	"F"	1359
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"February"	"2"	"Male"	"M"	1498
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"February"	"2"			2857
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"March"	"3"	"Female"	"F"	1508
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"March"	"3"	"Male"	"M"	1554
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"March"	"3"			3062
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"April"	"4"	"Female"	"F"	1471
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"April"	"4"	"Male"	"M"	1481
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"April"	"4"			2952
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"May"	"5"	"Female"	"F"	1589
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"May"	"5"	"Male"	"M"	1641
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"May"	"5"			3230
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"June"	"6"	"Female"	"F"	1538
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"June"	"6"	"Male"	"M"	1676
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"June"	"6"			3214
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"July"	"7"	"Female"	"F"	1576
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"July"	"7"	"Male"	"M"	1663
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"July"	"7"			3239
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"August"	"8"	"Female"	"F"	1660
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"August"	"8"	"Male"	"M"	1739
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"August"	"8"			3399
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"September"	"9"	"Female"	"F"	1551
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"September"	"9"	"Male"	"M"	1678
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"September"	"9"			3229
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"October"	"10"	"Female"	"F"	1473
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"October"	"10"	"Male"	"M"	1561
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"October"	"10"			3034
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"November"	"11"	"Female"	"F"	1477
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"November"	"11"	"Male"	"M"	1476
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"November"	"11"			2953
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"December"	"12"	"Female"	"F"	1511
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"December"	"12"	"Male"	"M"	1522
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"	"December"	"12"			3033
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2011"	"2011"					37281
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"January"	"1"	"Female"	"F"	1361
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"January"	"1"	"Male"	"M"	1520
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"January"	"1"			2881
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"February"	"2"	"Female"	"F"	1486
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"February"	"2"	"Male"	"M"	1372
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"February"	"2"			2858
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"March"	"3"	"Female"	"F"	1469
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"March"	"3"	"Male"	"M"	1534
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"March"	"3"			3003
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"April"	"4"	"Female"	"F"	1447
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"April"	"4"	"Male"	"M"	1597
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"April"	"4"			3044
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"May"	"5"	"Female"	"F"	1572
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"May"	"5"	"Male"	"M"	1536
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"May"	"5"			3108
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"June"	"6"	"Female"	"F"	1523
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"June"	"6"	"Male"	"M"	1542
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"June"	"6"			3065
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"July"	"7"	"Female"	"F"	1556
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"July"	"7"	"Male"	"M"	1678
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"July"	"7"			3234
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"August"	"8"	"Female"	"F"	1672
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"August"	"8"	"Male"	"M"	1744
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"August"	"8"			3416
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"September"	"9"	"Female"	"F"	1505
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"September"	"9"	"Male"	"M"	1514
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"September"	"9"			3019
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"October"	"10"	"Female"	"F"	1440
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"October"	"10"	"Male"	"M"	1587
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"October"	"10"			3027
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2012"	"2012"	"November"	"11"	"Female"	"F"	1528
